Vals,Colour
13.2938569462788,Purpal
13.07671461424465,BLUE
14.103802270360555,Green
13.763071030882311,Purple
13.113087991836012,Purple
13.562839005574158,Purple
13.143472558284298,RED
13.546315581472805,red
13.82863834336824,Purple
13.644642071918188,BLUE
13.181129984048803,red
13.62777359525062,Purpal
13.830196898673062,RED
13.670976373484041,Red
13.72352012073286,Purpal
13.64299276974827,Purple
13.493339554869045,Purpal
13.5137823359842,Purple
13.365170925434601,Green
13.528078188611548,green
13.417914360135267,red
13.196443727760623,green
13.243180536905646,Blue
13.599089384110586,Purpal
13.553343246914327,Red
13.579320837884996,Purpal
13.562141445772091,RED
13.523129639169315,Blue
13.514985646170409,Purple
13.150152916816697,BLUE
13.55470239175433,red
13.960556761082996,red
13.349470498130021,Purple
13.67247055284635,Purple
13.020720641228338,Purple
13.404722890476502,RED
13.451011623773967,RED
13.34055168430517,Red
13.535176048049654,green
13.590419647050795,red
13.860812812667797,RED
13.49954664278064,Purpal
13.465782285548853,RED
13.37471463606952,red
13.947588867755536,Purple
13.201842371082042,green
13.71993771090844,green
13.506427304823582,RED
13.311036823566473,Purple
13.513690924667654,BLUE
13.13088877178949,Purple
13.63667716478504,Purple
13.52119941086631,green
13.629313973296142,Green
13.74251338039963,BLUE
13.651595505256025,green
13.302859162108438,BLUE
13.417174943015926,Blue
13.319939142259393,Red
13.299048103087248,Red
13.595693717826353,RED
13.190850312327052,Purple
13.67884781723321,BLUE
13.376565416332813,Blue
13.396607230979777,Blue
13.741639390822886,green
14.046807301695786,Green
13.537236742634247,Blue
13.446338924286825,Purpal
13.3883317084286,Purple
13.242912262666431,red
13.638520039178205,Blue
13.692422175987413,red
13.581444594010721,Red
13.310987082278995,RED
13.26818554952665,RED
13.476173107247577,Green
13.665961236865568,Purpal
13.559712110108206,Red
14.07013840693196,red
13.685546924395176,Purpal
13.36062009082237,BLUE
13.656305245651081,red
13.479531378227491,Blue
13.205490509115554,Blue
13.624209152295995,red
14.099101352614555,Red
13.413294265993004,Blue
13.22363931265118,green
13.864191628295916,BLUE
13.40079067504351,red
13.450551646486372,BLUE
13.574492237390874,Blue
13.417658879434535,Red
13.269309268741555,green
13.217234676269663,RED
13.414109854242541,BLUE
13.378515825526358,RED
13.634656112140762,Blue
13.062247834066067,green
12.932965192397473,BLUE
13.763634684442328,Blue
13.479876174626513,Purpal
13.196611504879063,BLUE
13.79059387829802,red
13.919838844282521,green
13.60789159906248,Red
13.567073554082828,Green
13.671883708029662,RED
13.677036442179726,Green
13.059450625702595,Purple
12.830292542042441,red
13.538928993381967,Purpal
13.115814695813586,Blue
13.460278525742085,Green
13.290811632824182,BLUE
13.498870093539503,Red
13.587922548925423,Red
13.013945890010161,BLUE
13.611008334843488,RED
13.135415321713075,Purpal
13.410902818337465,Green
13.500651145780962,Purple
13.372109289155055,BLUE
13.716497013717896,Blue
13.847942380824992,BLUE
13.776216024284895,BLUE
13.88969919480409,Purpal
13.621227056018215,RED
13.140621312976016,Blue
13.667323077797066,Red
13.388474720287874,Green
13.913145142005964,BLUE
13.382725102615758,green
13.812905559503997,Purpal
13.367358072946876,red
13.32221843465455,BLUE
13.379064469584266,RED
13.371701073876748,Red
13.154866799952572,Purpal
14.014428761668526,Purpal
13.717187059421336,RED
13.332748033383156,BLUE
13.190615456441696,Purpal
13.637690480525313,Purple
13.566988701633066,green
13.496736111380217,RED
13.500873889161052,green
13.735401330066064,Purple
13.448155714157554,Blue
13.745809814556761,green
13.771306778545595,Purpal
13.788048593209884,green
13.792333847449098,Blue
13.222428179010757,Red
13.355442195384835,red
13.63404666384897,green
13.683638907161897,BLUE
14.089978059130745,Green
13.179928490303668,RED
13.391544639458066,Blue
13.64794772207634,BLUE
13.338276195409273,RED
13.508282793577702,red
13.659067277456868,Purpal
13.491824083846111,RED
13.753423156735223,red
13.60698863054245,green
13.56017762768032,green
13.868292691268125,Purple
13.643081226313937,Red
13.565320970224014,BLUE
13.52066691882266,green
13.401430661641804,Red
13.706986513716414,RED
13.50218414642894,BLUE
13.786409262957343,BLUE
13.145473849387855,Red
14.09458544474045,Blue
13.587177375337253,red
13.752905051902743,red
13.353261320258953,red
13.451506836624714,Red
13.670704702331182,Blue
13.704562408671414,Green
13.465233762142432,Blue
13.127643998346817,RED
13.451750487660723,Purple
13.291487065465606,Red
13.76650110058986,Blue
13.25081014030915,green
14.088226460618607,red
13.631090952129851,red
13.407668130349762,BLUE
13.412674583056107,RED
13.562287553656492,Green
13.53775547512351,Purple
13.618255484207528,Green
13.84067752220215,green
13.355780834143058,red
13.291146259243202,Blue
13.437225790588337,Green
13.615787651049894,Blue
13.699043912195241,RED
13.045995674396614,Purple
13.603702522160762,RED
13.564468297484195,Red
13.667471162663604,Purple
13.32368302855195,RED
13.74491422002164,Purpal
13.179973021733507,RED
13.559706462171062,Purple
13.169875785316424,BLUE
13.519370462217121,red
13.706105186096188,Purple
13.36177314127071,RED
13.59853325045629,green
13.47404004246787,Blue
13.889286718276743,RED
13.362591214301945,Green
13.462106062772665,Green
13.272598236866741,red
14.007223374748317,Green
13.822316250028777,Red
14.160246459447307,Purpal
13.477046077597299,Green
13.171436215593823,Green
13.38085746109975,red
13.434618796178588,Purpal
13.70096565414949,Purpal
13.77829650721517,Purple
13.72320852753911,red
13.510180043604705,Purple
13.137942265913951,green
13.53589944148363,Purple
13.349665217065982,BLUE
13.810068338888138,Green
12.954555473397228,Purpal
13.734547720786011,Purple
13.62452339938663,green
13.778726291491992,Blue
13.336677398691854,Purpal
13.217909556878265,green
13.196060042218816,BLUE
13.12793820370873,Purpal
13.902873776945078,RED
13.739751876467718,Purple
13.430765057178188,red
13.60317497583571,BLUE
13.328836479920719,BLUE
13.549187911394087,RED
13.258274710399582,RED
13.804655160024337,RED
13.10405516315777,Blue
13.401089078600007,BLUE
13.965758635782101,Purple
14.028858190399661,RED
13.564644167562681,Purple
13.693797026431321,green
13.483246860095183,green
13.396436507894957,Green
14.021415324485296,Purple
13.477754851742386,green
14.079492598135297,Purple
13.190969834690101,green
13.570054888279797,BLUE
13.535749958890438,RED
13.29850163293268,Blue
13.429374576045805,Purpal
13.782353482273325,green
13.550725170535825,green
13.644216560637456,Blue
14.02550118698908,Green
13.386292742637847,Purple
13.537505694534418,red
